Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,IMAGE
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Brown
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Brown
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Coffee
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Coffee
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Dark%20Gray
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Dark%20Gray
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Ballet%20Blue
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Ballet%20Blue
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Chrome
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Chrome
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Chrome%20Black
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Chrome%20Black
